"timestamp","case_id","activity_name","resource","user_response"
"2024-05-14T08:27:11.957Z","47","CrearOpcionesEncuestaIntent","amzn1.ask.account.AMA7KBRJLT4GHA2QV43RQ57VYTZZOJYIESFV7PJEOPIF45L2BQU4BO4XHKI7TPSIQCNCMDJUTM7BGFFP7RO3BVCNJKCHTLVYSDQHONSRRBOTX3OCJ7POW7QYDH3O5KDJMPWKSENUM3KD23ZOQ4XERVMSMQOXI6AIMGEVUD75RSIETVDF53R4DKX3GLUYUSXNLTE3KJJ2WUVHPKMCPOMH7NVML4J5RV2BOXRL5AK7MJGQ","13 de marzo"
"2024-05-08T17:00:21.474Z","24","EleccionVotacionAsignaturaIntent","amzn1.ask.account.AMA7KBRJLT4GHA2QV43RQ57VYTZZOJYIESFV7PJEOPIF45L2BQU4BO4XHKI7TPSIQCNCMDJUTM7BGFFP7RO3BVCNJKCHTLVYSDQHONSRRBOTX3OCJ7POW7QYDH3O5KDJMPWKSENUM3KD23ZOQ4XERVMSMQOXI6AIMGEVUD75RSIETVDF53R4DKX3GLUYUSXNLTE3KJJ2WUVHPKMCPOMH7NVML4J5RV2BOXRL5AK7MJGQ","14 de junio"
"2024-05-07T14:37:26.796Z","14","ElegirTitulacionIntent","amzn1.ask.account.AMA7KBRJLT4GHA2QV43RQ57VYTZZOJYIESFV7PJEOPIF45L2BQU4BO4XHKI7TPSIQCNCMDJUTM7BGFFP7RO3BVCNJKCHTLVYSDQHONSRRBOTX3OCJ7POW7QYDH3O5KDJMPWKSENUM3KD23ZOQ4XERVMSMQOXI6AIMGEVUD75RSIETVDF53R4DKX3GLUYUSXNLTE3KJJ2WUVHPKMCPOMH7NVML4J5RV2BOXRL5AK7MJGQ","Ingeniería Informática"
"2024-05-14T17:42:30.336Z","7","ElegirTitulacionIntent","amzn1.ask.account.AMAYXGUOKXGXPRPYZJL4PFMNMV5X7CQL2XY2NB3K4I2LYMIAIBWJQDOAKP46KRCWKWXMS766DZ2OQTOYXGIKY4SAHJZMNGBHBANSIJMBRN43VTD57SG6LSMUAYDRY6BXBTADEM35KIGJHOHBHN3KJEJ2W37QJ74BOSM4KC54Z52XJUNQBAJRQH5UYRYEJRCQYMFYG7JBCOCNSZAGQ4TPLK4VLHVQBAITG744WP2LSQ","Ingeniería Informática"
"2024-05-02T10:47:56.990Z","2","CrearOpcionesEncuestaIntent","amzn1.ask.account.AMA7KBRJLT4GHA2QV43RQ57VYTZZOJYIESFV7PJEOPIF45L2BQU4BO4XHKI7TPSIQCNCMDJUTM7BGFFP7RO3BVCNJKCHTLVYSDQHONSRRBOTX3OCJ7POW7QYDH3O5KDJMPWKSENUM3KD23ZOQ4XERVMSMQOXI6AIMGEVUD75RSIETVDF53R4DKX3GLUYUSXNLTE3KJJ2WUVHPKMCPOMH7NVML4J5RV2BOXRL5AK7MJGQ","12 de junio"
"2024-05-14T17:43:47.098Z","8","EleccionVotacionAsignaturaIntent","amzn1.ask.account.AMAYXGUOKXGXPRPYZJL4PFMNMV5X7CQL2XY2NB3K4I2LYMIAIBWJQDOAKP46KRCWKWXMS766DZ2OQTOYXGIKY4SAHJZMNGBHBANSIJMBRN43VTD57SG6LSMUAYDRY6BXBTADEM35KIGJHOHBHN3KJEJ2W37QJ74BOSM4KC54Z52XJUNQBAJRQH5UYRYEJRCQYMFYG7JBCOCNSZAGQ4TPLK4VLHVQBAITG744WP2LSQ","14 de junio"
"2024-05-14T17:39:51.846Z","4","VerVotacionesIntent","amzn1.ask.account.AMAYXGUOKXGXPRPYZJL4PFMNMV5X7CQL2XY2NB3K4I2LYMIAIBWJQDOAKP46KRCWKWXMS766DZ2OQTOYXGIKY4SAHJZMNGBHBANSIJMBRN43VTD57SG6LSMUAYDRY6BXBTADEM35KIGJHOHBHN3KJEJ2W37QJ74BOSM4KC54Z52XJUNQBAJRQH5UYRYEJRCQYMFYG7JBCOCNSZAGQ4TPLK4VLHVQBAITG744WP2LSQ","Votaciones abiertas"
"2024-05-14T17:41:03.404Z","5","CrearTituloEncuestaIntent","amzn1.ask.account.AMAYXGUOKXGXPRPYZJL4PFMNMV5X7CQL2XY2NB3K4I2LYMIAIBWJQDOAKP46KRCWKWXMS766DZ2OQTOYXGIKY4SAHJZMNGBHBANSIJMBRN43VTD57SG6LSMUAYDRY6BXBTADEM35KIGJHOHBHN3KJEJ2W37QJ74BOSM4KC54Z52XJUNQBAJRQH5UYRYEJRCQYMFYG7JBCOCNSZAGQ4TPLK4VLHVQBAITG744WP2LSQ","examen sistemas operativos último"
"2024-05-14T17:39:32.526Z","4","ElegirAsignaturaInformaticaIntent","amzn1.ask.account.AMAYXGUOKXGXPRPYZJL4PFMNMV5X7CQL2XY2NB3K4I2LYMIAIBWJQDOAKP46KRCWKWXMS766DZ2OQTOYXGIKY4SAHJZMNGBHBANSIJMBRN43VTD57SG6LSMUAYDRY6BXBTADEM35KIGJHOHBHN3KJEJ2W37QJ74BOSM4KC54Z52XJUNQBAJRQH5UYRYEJRCQYMFYG7JBCOCNSZAGQ4TPLK4VLHVQBAITG744WP2LSQ","Fundamentos de Software"
"2024-05-14T09:16:19.581Z","55","CrearOpcionesEncuestaIntent","amzn1.ask.account.AMA7KBRJLT4GHA2QV43RQ57VYTZZOJYIESFV7PJEOPIF45L2BQU4BO4XHKI7TPSIQCNCMDJUTM7BGFFP7RO3BVCNJKCHTLVYSDQHONSRRBOTX3OCJ7POW7QYDH3O5KDJMPWKSENUM3KD23ZOQ4XERVMSMQOXI6AIMGEVUD75RSIETVDF53R4DKX3GLUYUSXNLTE3KJJ2WUVHPKMCPOMH7NVML4J5RV2BOXRL5AK7MJGQ","23 de junio"
"2024-05-13T10:34:32.772Z","46","VerVotacionesIntent","amzn1.ask.account.AMA7KBRJLT4GHA2QV43RQ57VYTZZOJYIESFV7PJEOPIF45L2BQU4BO4XHKI7TPSIQCNCMDJUTM7BGFFP7RO3BVCNJKCHTLVYSDQHONSRRBOTX3OCJ7POW7QYDH3O5KDJMPWKSENUM3KD23ZOQ4XERVMSMQOXI6AIMGEVUD75RSIETVDF53R4DKX3GLUYUSXNLTE3KJJ2WUVHPKMCPOMH7NVML4J5RV2BOXRL5AK7MJGQ","Quiero ver votaciones abiertas"
"2024-05-07T14:42:02.368Z","18","ElegirTitulacionIntent","amzn1.ask.account.AMA7KBRJLT4GHA2QV43RQ57VYTZZOJYIESFV7PJEOPIF45L2BQU4BO4XHKI7TPSIQCNCMDJUTM7BGFFP7RO3BVCNJKCHTLVYSDQHONSRRBOTX3OCJ7POW7QYDH3O5KDJMPWKSENUM3KD23ZOQ4XERVMSMQOXI6AIMGEVUD75RSIETVDF53R4DKX3GLUYUSXNLTE3KJJ2WUVHPKMCPOMH7NVML4J5RV2BOXRL5AK7MJGQ","Ingeniería Informática"
"2024-05-14T09:34:58.392Z","67","ElegirTitulacionIntent","amzn1.ask.account.AMA7KBRJLT4GHA2QV43RQ57VYTZZOJYIESFV7PJEOPIF45L2BQU4BO4XHKI7TPSIQCNCMDJUTM7BGFFP7RO3BVCNJKCHTLVYSDQHONSRRBOTX3OCJ7POW7QYDH3O5KDJMPWKSENUM3KD23ZOQ4XERVMSMQOXI6AIMGEVUD75RSIETVDF53R4DKX3GLUYUSXNLTE3KJJ2WUVHPKMCPOMH7NVML4J5RV2BOXRL5AK7MJGQ","Ingeniería Informática"
